index	prediction
0	0
1	1
2	1
3	0
4	1
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	0
13	0
14	0
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	1
26	0
27	1
28	0
29	0
30	0
31	0
32	1
33	0
34	0
35	0
36	0
37	1
38	0
39	0
40	0
41	0
42	0
43	0
44	1
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	1
61	1
62	1
63	1
64	0
65	0
66	1
67	0
68	0
69	0
70	0
71	0
72	1
73	0
74	0
75	1
76	0
77	1
78	0
79	0
80	0
81	1
82	0
83	1
84	0
85	0
86	0
87	1
88	0
89	0
90	0
91	0
92	1
93	0
94	0
95	0
96	0
97	0
98	1
99	0
100	1
101	1
102	1
103	1
104	0
105	1
106	0
107	1
108	1
109	0
110	0
111	1
112	0
113	0
114	1
115	0
116	0
117	0
118	0
119	0
120	1
121	0
122	1
123	0
124	1
125	1
126	0
127	0
128	0
129	1
130	1
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	1
140	0
141	0
142	0
143	0
144	1
145	0
146	0
147	0
148	1
149	0
150	1
151	1
152	0
153	0
154	1
155	0
156	0
157	1
158	0
159	1
160	0
161	0
162	1
163	1
164	0
165	1
166	0
167	0
168	0
169	1
170	0
171	0
172	0
173	0
174	0
175	0
176	1
177	0
178	0
179	0
180	1
181	1
182	0
183	0
184	1
185	0
186	1
187	0
188	0
189	0
190	1
191	0
192	0
193	1
194	1
195	0
196	0
197	1
198	0
199	1
200	0
201	0
202	0
203	0
204	0
205	0
206	0
207	1
208	0
209	0
210	1
211	1
212	0
213	0
214	0
215	0
216	0
217	1
218	1
219	0
220	1
221	1
222	1
223	0
224	1
225	0
226	0
227	0
228	0
229	1
230	0
231	0
232	1
233	0
234	0
235	0
236	0
237	0
238	0
239	0
240	0
241	1
242	0
243	1
244	0
245	0
246	0
247	0
248	0
249	1
250	0
251	0
252	0
253	1
254	0
255	1
256	0
257	0
258	0
259	0
260	1
261	1
262	0
263	1
264	0
265	1
266	0
267	0
268	1
269	0
270	0
271	1
272	1
273	0
274	0
275	0
276	0
277	1
278	0
279	0
280	0
281	1
282	1
283	0
284	0
285	1
286	0
287	0
288	0
289	0
290	1
291	0
292	0
293	0
294	1
295	0
296	0
297	0
298	0
299	0
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	1
309	0
310	1
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	1
327	1
328	1
329	0
330	0
331	0
332	0
333	0
334	0
335	1
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	1
358	0
359	1
360	0
361	0
362	1
363	0
364	1
365	0
366	1
367	0
368	1
369	0
370	1
371	1
372	1
373	0
374	0
375	0
376	0
377	0
378	0
379	1
380	0
381	1
382	0
383	1
384	0
385	1
386	0
387	1
388	0
389	0
390	0
391	1
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	1
404	1
405	0
406	0
407	0
408	1
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	1
422	0
423	1
424	1
425	0
426	0
427	0
428	1
429	1
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	1
444	1
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	1
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	1
464	0
465	0
466	0
467	0
468	0
469	1
470	0
471	1
472	0
473	0
474	0
475	0
476	1
477	0
478	0
479	1
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	1
489	0
490	0
491	0
492	0
493	0
494	1
495	1
496	1
497	1
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	1
508	1
509	0
510	1
511	0
512	0
513	1
514	0
515	0
516	0
517	0
518	0
519	0
520	1
521	0
522	0
523	1
524	1
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	1
533	0
534	1
535	1
536	1
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	1
545	0
546	0
547	1
548	0
549	0
550	0
551	0
552	0
553	1
554	0
555	1
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	1
569	0
570	0
571	0
572	1
573	0
574	1
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	1
584	0
585	0
586	0
587	0
588	0
589	1
590	1
591	0
592	1
593	0
594	0
595	0
596	0
597	0
598	1
599	0
600	0
601	1
602	0
603	0
604	1
605	0
606	1
607	0
608	0
609	0
610	0
611	1
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	1
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	1
637	0
638	0
639	0
640	1
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	1
650	0
651	0
652	0
653	1
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	1
674	0
675	1
676	1
677	0
678	0
679	1
680	0
681	0
682	1
683	0
684	0
685	1
686	0
687	0
688	1
689	0
690	1
691	0
692	0
693	1
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	1
702	1
703	0
704	0
705	0
706	1
707	1
708	1
709	0
710	1
711	0
712	0
713	0
714	1
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	1
725	0
726	0
727	1
728	1
729	0
730	0
731	0
732	0
733	0
734	1
735	0
736	0
737	0
738	0
739	1
740	0
741	1
742	0
743	0
744	0
745	0
746	0
747	0
748	1
749	1
750	0
751	1
752	0
753	0
754	1
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	1
767	0
768	0
769	0
770	1
771	0
772	0
773	0
774	0
775	0
776	0
777	1
778	0
779	0
780	1
781	0
782	0
783	0
784	0
785	0
786	0
787	0
788	0
789	0
790	1
791	0
792	0
793	0
794	0
795	1
796	0
797	1
798	0
799	0
800	0
801	1
802	0
803	0
804	0
805	0
806	0
807	1
808	0
809	0
810	1
811	0
812	0
813	0
814	0
815	0
816	0
817	0
818	0
819	0
820	0
821	1
822	1
823	0
824	0
825	0
826	0
827	0
828	1
829	0
830	0
831	1
832	0
833	0
834	0
835	0
836	0
837	0
838	1
839	0
840	0
841	1
842	0
843	0
844	0
845	0
846	0
847	0
848	0
849	0
850	1
851	0
852	0
853	0
854	0
855	0
856	0
857	1
858	0
859	0
860	1
861	0
862	0
863	1
864	1
865	0
866	0
867	0
868	0
869	0
870	0
871	1
872	0
873	0
874	1
875	0
876	1
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	1
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	1
898	1
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	1
909	1
910	0
911	1
912	0
913	0
914	0
915	0
916	0
917	0
918	1
919	0
920	1
921	1
922	1
923	0
924	0
925	0
926	0
927	0
928	1
929	1
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	1
938	1
939	0
940	1
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	1
951	0
952	1
953	1
954	0
955	1
956	0
957	0
958	1
959	0
960	0
961	1
962	1
963	0
964	0
965	0
966	0
967	1
968	0
969	0
970	0
971	0
972	0
973	0
974	1
975	0
976	1
977	0
978	0
979	0
980	0
981	0
982	1
983	0
984	1
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	1
994	0
995	0
996	0
997	0
998	0
999	0
1000	1
1001	0
1002	0
1003	0
1004	0
1005	0
1006	0
1007	1
1008	0
1009	0
1010	0
1011	0
1012	1
1013	1
1014	0
1015	0
1016	0
1017	0
1018	0
1019	1
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	1
1027	1
1028	0
1029	0
1030	0
1031	0
1032	0
1033	0
1034	0
1035	0
1036	0
1037	0
1038	1
1039	0
1040	0
1041	0
1042	1
1043	0
1044	0
1045	0
1046	0
1047	0
1048	0
1049	0
1050	0
1051	0
1052	0
1053	0
1054	1
1055	0
1056	0
1057	0
1058	1
1059	0
1060	0
