index	prediction
0	1
1	0
2	1
3	1
4	1
5	1
6	1
7	1
8	0
9	0
10	0
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	0
20	0
21	1
22	0
23	1
24	0
25	0
26	1
27	1
28	1
29	1
30	1
31	0
32	0
33	1
34	0
35	1
36	0
37	0
38	0
39	0
40	1
41	0
42	1
43	1
44	1
45	1
46	1
47	0
48	0
49	0
50	1
51	0
52	0
53	1
54	1
55	1
56	0
57	1
58	0
59	1
60	0
61	1
62	1
63	1
64	1
65	1
66	1
67	1
68	0
69	1
70	1
71	1
72	1
73	1
74	0
75	1
76	0
77	1
78	0
79	1
80	0
81	1
82	1
83	1
84	1
85	1
86	1
87	1
88	0
89	1
90	1
91	1
92	0
93	1
94	1
95	1
96	1
97	1
98	1
99	0
100	1
101	0
102	0
103	1
104	1
105	0
106	1
107	1
108	1
109	1
110	0
111	1
112	1
113	1
114	0
115	1
116	0
117	0
118	0
119	1
120	0
121	1
122	1
123	0
124	0
125	1
126	1
127	0
128	1
129	1
130	1
131	0
132	1
133	1
134	0
135	0
136	1
137	1
138	1
139	1
140	1
141	1
142	1
143	1
144	1
145	1
146	1
147	0
148	1
149	1
150	1
151	1
152	1
153	0
154	1
155	1
156	1
157	1
158	1
159	1
160	1
161	1
162	0
163	0
164	0
165	0
166	0
167	1
168	1
169	1
170	1
171	1
172	1
173	0
174	0
175	0
176	1
177	0
178	1
179	0
180	1
181	0
182	1
183	1
184	0
185	1
186	1
187	1
188	1
189	1
190	1
191	0
192	1
193	1
194	1
195	0
196	0
197	1
198	1
199	1
200	0
201	1
202	0
203	0
204	1
205	1
206	1
207	1
208	0
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	0
218	1
219	1
220	0
221	1
222	1
223	1
224	0
225	1
226	0
227	1
228	1
229	1
230	0
231	0
232	0
233	1
234	0
235	0
236	1
237	0
238	0
239	1
240	1
241	1
242	1
243	0
244	1
245	0
246	0
247	0
248	0
249	1
250	0
251	0
252	1
253	0
254	1
255	1
256	0
257	0
258	0
259	0
260	0
261	0
262	1
263	0
264	1
265	1
266	1
267	1
268	1
269	0
270	0
271	1
272	1
273	1
274	1
275	1
276	1
277	0
278	1
279	1
280	0
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	0
289	1
290	1
291	1
292	0
293	1
294	0
295	1
296	0
297	1
298	1
299	1
300	0
301	1
302	0
303	1
304	0
305	1
306	0
307	1
308	1
309	0
310	0
311	1
312	1
313	0
314	0
315	1
316	1
317	1
318	1
319	0
320	1
321	0
322	0
323	0
324	1
325	1
326	1
327	1
328	1
329	1
330	1
331	1
332	0
333	0
334	0
335	0
336	0
337	1
338	1
339	0
340	1
341	0
342	0
343	1
344	1
345	0
346	1
347	1
348	0
349	0
350	1
351	1
352	1
353	0
354	1
355	1
356	1
357	1
358	1
359	0
360	1
361	1
362	1
363	1
364	1
365	0
366	1
367	0
368	1
369	0
370	0
371	0
372	1
373	1
374	0
375	0
376	1
377	1
378	0
379	1
380	0
381	0
382	0
383	1
384	1
385	0
386	1
387	0
388	1
389	0
390	0
391	0
392	1
393	1
394	1
395	0
396	1
397	1
398	1
399	0
400	0
401	1
402	1
403	1
404	0
405	0
406	1
407	1
408	1
409	1
410	0
411	1
412	1
413	1
414	0
415	0
416	1
417	1
418	1
419	1
420	0
421	0
422	1
423	0
424	0
425	1
426	1
427	1
428	1
429	1
430	1
431	1
432	1
433	0
434	1
435	0
436	0
437	1
438	0
439	0
440	1
441	1
442	1
443	1
444	1
445	1
446	1
447	0
448	0
449	1
450	1
451	1
452	1
453	0
454	1
455	0
456	0
457	0
458	1
459	1
460	0
461	1
462	0
463	0
464	1
465	1
466	0
467	1
468	1
469	1
470	1
471	1
472	0
473	1
474	0
475	0
476	0
477	1
478	0
479	1
480	1
481	1
482	0
483	1
484	0
485	0
486	0
487	1
488	1
489	1
490	1
491	1
492	0
493	1
494	1
495	0
496	0
497	1
498	0
499	0
500	0
501	0
502	1
503	0
504	1
505	0
506	0
507	1
508	1
509	0
510	0
511	0
512	1
513	0
514	0
515	1
516	1
517	1
518	0
519	0
520	0
521	1
522	0
523	0
524	0
525	1
526	0
527	1
528	0
529	1
530	0
531	0
532	0
533	1
534	1
535	1
536	1
537	1
538	1
539	1
540	1
541	0
542	1
543	1
544	0
545	0
546	1
547	0
548	1
549	1
550	0
551	1
552	0
553	1
554	1
555	1
556	1
557	1
558	0
559	0
560	1
561	0
562	0
563	1
564	0
565	0
566	1
567	1
568	1
569	1
570	1
571	0
572	1
573	1
574	1
575	0
576	1
577	1
578	0
579	1
580	0
581	1
582	1
583	0
584	1
585	1
586	0
587	0
588	1
589	1
590	0
591	1
592	1
593	0
594	1
595	0
596	1
597	0
598	1
599	0
600	0
601	1
602	1
603	1
604	1
605	1
606	0
607	0
608	1
609	1
610	1
611	0
612	1
613	1
614	1
615	0
616	0
617	0
618	0
619	1
620	1
621	1
622	1
623	1
624	1
625	0
626	1
627	1
628	0
629	1
630	0
631	1
632	1
633	1
634	1
635	0
636	1
637	0
638	1
639	1
640	0
641	1
642	1
643	1
644	1
645	0
646	1
647	0
648	1
649	1
650	0
651	1
652	1
653	0
654	1
655	1
656	1
657	1
658	1
659	0
660	1
661	0
662	0
663	1
664	0
665	1
666	0
667	1
668	1
669	0
670	0
671	0
672	1
673	0
674	1
675	1
676	0
677	1
678	0
679	1
680	0
681	1
682	1
683	1
684	1
685	1
686	0
687	0
688	0
689	1
690	1
691	0
692	0
693	1
694	0
695	1
696	1
697	1
698	0
699	1
700	0
701	1
702	1
703	0
704	1
705	1
706	1
707	0
708	1
709	0
710	1
711	0
712	0
713	1
714	1
715	0
716	1
717	0
718	1
719	1
720	1
721	0
722	1
723	1
724	1
725	1
726	1
727	0
728	0
729	0
730	1
731	0
732	1
733	1
734	0
735	0
736	1
737	1
738	0
739	0
740	1
741	1
742	1
743	1
744	0
745	1
746	1
747	1
748	1
749	1
750	0
751	0
752	1
753	1
754	1
755	1
756	0
757	1
758	0
759	1
760	1
761	1
762	0
763	1
764	1
765	0
766	0
767	0
768	1
769	1
770	1
771	0
772	1
773	1
774	1
775	1
776	1
777	1
778	0
779	1
780	1
781	0
782	0
783	0
784	1
785	0
786	0
787	1
788	1
789	0
790	1
791	1
792	0
793	0
794	0
795	0
796	1
797	1
798	0
799	1
800	0
801	1
802	0
803	1
804	1
805	1
806	0
807	0
808	1
809	1
810	0
811	0
812	1
813	0
814	0
815	0
816	1
817	0
818	1
819	1
820	0
821	0
822	0
823	0
824	1
825	0
826	1
827	0
828	1
829	0
830	0
831	0
832	1
833	1
834	0
835	0
836	1
837	1
838	0
839	0
840	0
841	1
842	1
843	0
844	0
845	1
846	0
847	0
848	0
849	1
850	1
851	1
852	0
853	1
854	1
855	1
856	1
857	1
858	1
859	1
860	1
861	1
862	0
863	0
864	1
865	1
866	0
867	1
868	1
869	0
870	0
871	1
872	1
873	1
874	1
875	1
876	1
877	0
878	0
879	0
880	0
881	0
882	0
883	1
884	0
885	0
886	1
887	0
888	1
889	1
890	0
891	0
892	1
893	0
894	1
895	1
896	0
897	0
898	0
899	1
900	0
901	0
902	1
903	0
904	1
905	0
906	1
907	0
908	1
909	0
910	0
911	1
912	1
913	1
914	1
915	0
916	1
917	1
918	0
919	1
920	1
921	1
922	1
923	1
924	0
925	1
926	1
927	1
928	1
929	0
930	0
931	0
932	1
933	0
934	1
935	0
936	0
937	1
938	0
939	1
940	1
941	1
942	0
943	1
944	1
945	0
946	1
947	0
948	1
949	1
950	1
951	1
952	0
953	1
954	0
955	1
956	0
957	1
958	1
959	0
960	0
961	0
962	1
963	0
964	0
965	1
966	1
967	1
968	1
969	0
970	0
971	1
972	0
973	1
974	0
975	0
976	1
977	1
978	0
979	0
980	1
981	1
982	1
983	1
984	0
985	1
986	0
987	1
988	0
989	1
990	0
991	1
992	1
993	1
994	1
995	1
996	0
997	1
998	1
999	0
1000	1
1001	0
1002	1
1003	0
1004	1
1005	0
1006	1
1007	1
1008	1
1009	1
1010	0
1011	0
1012	1
1013	1
1014	1
1015	1
1016	0
1017	1
1018	0
1019	1
1020	0
1021	1
1022	1
1023	1
1024	1
1025	0
1026	1
1027	0
1028	1
1029	0
1030	0
1031	1
1032	0
1033	1
1034	1
1035	1
1036	0
1037	1
1038	1
1039	1
1040	1
1041	1
1042	1
1043	1
1044	0
1045	1
1046	1
1047	1
1048	0
1049	1
1050	0
1051	1
1052	0
1053	1
1054	1
1055	0
1056	1
1057	1
1058	0
1059	0
1060	0
1061	1
1062	1
1063	1
1064	1
1065	0
1066	0
1067	1
1068	1
1069	0
1070	1
1071	0
1072	1
1073	0
1074	1
1075	1
1076	1
1077	0
1078	1
1079	1
1080	1
1081	0
1082	1
1083	0
1084	1
1085	1
1086	0
1087	0
1088	0
1089	0
1090	0
1091	0
1092	1
1093	0
1094	0
1095	1
1096	0
1097	1
1098	1
1099	1
1100	1
1101	1
1102	1
1103	1
1104	0
1105	0
1106	0
1107	0
1108	0
1109	0
1110	1
1111	1
1112	1
1113	1
1114	0
1115	0
1116	1
1117	1
1118	0
1119	1
1120	0
1121	1
1122	1
1123	0
1124	0
1125	1
1126	1
1127	1
1128	1
1129	1
1130	0
1131	1
1132	1
1133	1
1134	1
1135	1
1136	1
1137	0
1138	0
1139	1
1140	0
1141	1
1142	1
1143	1
1144	1
1145	1
1146	1
1147	0
1148	1
1149	1
1150	1
1151	1
1152	0
1153	1
1154	1
1155	1
1156	1
1157	0
1158	1
1159	0
1160	1
1161	1
1162	1
1163	0
1164	0
1165	0
1166	1
1167	1
1168	1
1169	1
1170	0
1171	0
1172	1
1173	1
1174	1
1175	0
1176	1
1177	1
1178	0
1179	1
1180	0
1181	1
1182	0
1183	0
1184	0
1185	0
1186	0
1187	0
1188	1
1189	1
1190	1
1191	0
1192	0
1193	0
1194	1
1195	1
1196	0
1197	1
1198	1
1199	1
1200	1
1201	1
1202	0
1203	0
1204	1
1205	0
1206	1
1207	0
1208	0
1209	1
1210	0
1211	1
1212	1
1213	1
1214	0
1215	0
1216	0
1217	1
1218	1
1219	1
1220	1
1221	0
1222	1
1223	0
1224	1
1225	1
1226	1
1227	0
1228	0
1229	1
