index	prediction
0	entailment
1	entailment
2	entailment
3	entailment
4	entailment
5	entailment
6	entailment
7	entailment
8	entailment
9	entailment
10	entailment
11	entailment
12	not_entailment
13	not_entailment
14	not_entailment
15	not_entailment
16	entailment
17	entailment
18	entailment
19	entailment
20	entailment
21	entailment
22	entailment
23	entailment
24	not_entailment
25	not_entailment
26	not_entailment
27	not_entailment
28	entailment
29	entailment
30	entailment
31	entailment
32	entailment
33	entailment
34	entailment
35	entailment
36	entailment
37	entailment
38	not_entailment
39	not_entailment
40	not_entailment
41	not_entailment
42	not_entailment
43	not_entailment
44	not_entailment
45	not_entailment
46	entailment
47	entailment
48	entailment
49	entailment
50	entailment
51	entailment
52	not_entailment
53	not_entailment
54	entailment
55	entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	entailment
61	entailment
62	entailment
63	entailment
64	entailment
65	entailment
66	entailment
67	entailment
68	not_entailment
69	not_entailment
70	entailment
71	entailment
72	not_entailment
73	not_entailment
74	not_entailment
75	not_entailment
76	not_entailment
77	not_entailment
78	entailment
79	entailment
80	entailment
81	entailment
82	entailment
83	entailment
84	entailment
85	entailment
86	not_entailment
87	not_entailment
88	entailment
89	entailment
90	not_entailment
91	not_entailment
92	not_entailment
93	not_entailment
94	not_entailment
95	not_entailment
96	not_entailment
97	not_entailment
98	entailment
99	entailment
100	entailment
101	entailment
102	not_entailment
103	not_entailment
104	not_entailment
105	not_entailment
106	entailment
107	entailment
108	entailment
109	entailment
110	not_entailment
111	not_entailment
112	not_entailment
113	not_entailment
114	entailment
115	entailment
116	entailment
117	entailment
118	not_entailment
119	not_entailment
120	not_entailment
121	not_entailment
122	not_entailment
123	not_entailment
124	entailment
125	entailment
126	entailment
127	entailment
128	entailment
129	entailment
130	not_entailment
131	not_entailment
132	entailment
133	entailment
134	entailment
135	entailment
136	not_entailment
137	not_entailment
138	entailment
139	entailment
140	not_entailment
141	not_entailment
142	entailment
143	entailment
144	not_entailment
145	not_entailment
146	entailment
147	entailment
148	not_entailment
149	not_entailment
150	entailment
151	entailment
152	not_entailment
153	not_entailment
154	entailment
155	entailment
156	not_entailment
157	not_entailment
158	entailment
159	entailment
160	not_entailment
161	not_entailment
162	not_entailment
163	not_entailment
164	entailment
165	entailment
166	not_entailment
167	not_entailment
168	entailment
169	entailment
170	entailment
171	entailment
172	not_entailment
173	not_entailment
174	entailment
175	entailment
176	not_entailment
177	not_entailment
178	not_entailment
179	not_entailment
180	not_entailment
181	not_entailment
182	not_entailment
183	not_entailment
184	not_entailment
185	not_entailment
186	not_entailment
187	not_entailment
188	entailment
189	entailment
190	entailment
191	entailment
192	entailment
193	entailment
194	entailment
195	entailment
196	entailment
197	entailment
198	entailment
199	entailment
200	not_entailment
201	not_entailment
202	entailment
203	entailment
204	entailment
205	entailment
206	entailment
207	entailment
208	not_entailment
209	not_entailment
210	not_entailment
211	not_entailment
212	entailment
213	entailment
214	not_entailment
215	not_entailment
216	entailment
217	entailment
218	entailment
219	entailment
220	entailment
221	entailment
222	entailment
223	entailment
224	not_entailment
225	not_entailment
226	not_entailment
227	not_entailment
228	entailment
229	entailment
230	not_entailment
231	not_entailment
232	entailment
233	entailment
234	not_entailment
235	not_entailment
236	not_entailment
237	not_entailment
238	not_entailment
239	not_entailment
240	entailment
241	entailment
242	entailment
243	entailment
244	entailment
245	entailment
246	entailment
247	entailment
248	entailment
249	entailment
250	entailment
251	entailment
252	not_entailment
253	not_entailment
254	not_entailment
255	not_entailment
256	entailment
257	entailment
258	not_entailment
259	not_entailment
260	not_entailment
261	not_entailment
262	entailment
263	entailment
264	entailment
265	entailment
266	entailment
267	entailment
268	entailment
269	entailment
270	not_entailment
271	not_entailment
272	not_entailment
273	not_entailment
274	entailment
275	entailment
276	entailment
277	entailment
278	not_entailment
279	not_entailment
280	not_entailment
281	not_entailment
282	not_entailment
283	not_entailment
284	not_entailment
285	not_entailment
286	not_entailment
287	not_entailment
288	entailment
289	entailment
290	entailment
291	entailment
292	entailment
293	entailment
294	entailment
295	entailment
296	entailment
297	entailment
298	not_entailment
299	not_entailment
300	not_entailment
301	not_entailment
302	entailment
303	entailment
304	not_entailment
305	not_entailment
306	entailment
307	entailment
308	entailment
309	entailment
310	not_entailment
311	not_entailment
312	not_entailment
313	not_entailment
314	not_entailment
315	not_entailment
316	not_entailment
317	not_entailment
318	not_entailment
319	not_entailment
320	not_entailment
321	not_entailment
322	not_entailment
323	not_entailment
324	not_entailment
325	not_entailment
326	not_entailment
327	not_entailment
328	not_entailment
329	not_entailment
330	not_entailment
331	not_entailment
332	entailment
333	entailment
334	entailment
335	entailment
336	not_entailment
337	not_entailment
338	not_entailment
339	not_entailment
340	entailment
341	entailment
342	entailment
343	entailment
344	not_entailment
345	not_entailment
346	not_entailment
347	not_entailment
348	not_entailment
349	not_entailment
350	entailment
351	entailment
352	entailment
353	entailment
354	not_entailment
355	not_entailment
356	entailment
357	entailment
358	entailment
359	entailment
360	entailment
361	entailment
362	entailment
363	entailment
364	not_entailment
365	not_entailment
366	entailment
367	entailment
368	not_entailment
369	not_entailment
370	not_entailment
371	not_entailment
372	not_entailment
373	not_entailment
374	not_entailment
375	not_entailment
376	not_entailment
377	not_entailment
378	entailment
379	entailment
380	entailment
381	entailment
382	not_entailment
383	not_entailment
384	entailment
385	entailment
386	not_entailment
387	not_entailment
388	entailment
389	entailment
390	entailment
391	entailment
392	entailment
393	entailment
394	entailment
395	entailment
396	not_entailment
397	not_entailment
398	not_entailment
399	not_entailment
400	entailment
401	entailment
402	entailment
403	entailment
404	entailment
405	entailment
406	entailment
407	entailment
408	entailment
409	entailment
410	not_entailment
411	not_entailment
412	entailment
413	entailment
414	not_entailment
415	not_entailment
416	entailment
417	entailment
418	entailment
419	entailment
420	not_entailment
421	not_entailment
422	entailment
423	entailment
424	entailment
425	entailment
426	entailment
427	entailment
428	not_entailment
429	not_entailment
430	entailment
431	entailment
432	entailment
433	entailment
434	not_entailment
435	not_entailment
436	entailment
437	entailment
438	entailment
