index	prediction
0	entailment
1	neutral
2	contradiction
3	neutral
4	entailment
5	entailment
6	contradiction
7	contradiction
8	neutral
9	neutral
10	neutral
11	entailment
12	entailment
13	contradiction
14	neutral
15	contradiction
16	entailment
17	neutral
18	neutral
19	neutral
20	entailment
21	entailment
22	contradiction
23	contradiction
24	contradiction
25	neutral
26	contradiction
27	entailment
28	neutral
29	entailment
30	contradiction
31	entailment
32	contradiction
33	entailment
34	entailment
35	contradiction
36	contradiction
37	entailment
38	entailment
39	contradiction
40	contradiction
41	entailment
42	contradiction
43	contradiction
44	entailment
45	neutral
46	contradiction
47	contradiction
48	neutral
49	entailment
50	entailment
51	contradiction
52	neutral
53	contradiction
54	entailment
55	neutral
56	entailment
57	entailment
58	entailment
59	neutral
60	entailment
61	neutral
62	contradiction
63	entailment
64	entailment
65	entailment
66	neutral
67	entailment
68	neutral
69	entailment
70	contradiction
71	entailment
72	contradiction
73	contradiction
74	entailment
75	neutral
76	entailment
77	neutral
78	entailment
79	contradiction
80	neutral
81	contradiction
82	contradiction
83	neutral
84	contradiction
85	contradiction
86	entailment
87	neutral
88	entailment
89	contradiction
90	entailment
91	neutral
92	neutral
93	entailment
94	contradiction
95	entailment
96	entailment
97	neutral
98	neutral
99	entailment
100	entailment
101	neutral
102	contradiction
103	contradiction
104	entailment
105	neutral
106	neutral
107	entailment
108	neutral
109	neutral
110	contradiction
111	neutral
112	contradiction
113	contradiction
114	entailment
115	neutral
116	neutral
117	contradiction
118	neutral
119	contradiction
120	neutral
121	contradiction
122	entailment
123	neutral
124	contradiction
125	contradiction
126	contradiction
127	neutral
128	entailment
129	neutral
130	contradiction
131	neutral
132	neutral
133	entailment
134	neutral
135	entailment
136	entailment
137	entailment
138	contradiction
139	neutral
140	contradiction
141	entailment
142	entailment
143	entailment
144	neutral
145	neutral
146	entailment
147	contradiction
148	neutral
149	contradiction
150	entailment
151	neutral
152	entailment
153	contradiction
154	entailment
155	entailment
156	entailment
157	entailment
158	neutral
159	contradiction
160	contradiction
161	neutral
162	entailment
163	neutral
164	entailment
165	entailment
166	entailment
167	entailment
168	neutral
169	neutral
170	contradiction
171	neutral
172	entailment
173	neutral
174	entailment
175	entailment
176	contradiction
177	contradiction
178	entailment
179	entailment
180	contradiction
181	neutral
182	neutral
183	neutral
184	contradiction
185	contradiction
186	neutral
187	entailment
188	neutral
189	neutral
190	entailment
191	neutral
192	contradiction
193	contradiction
194	entailment
195	entailment
196	entailment
197	neutral
198	entailment
199	neutral
200	entailment
201	neutral
202	entailment
203	contradiction
204	entailment
205	entailment
206	entailment
207	contradiction
208	contradiction
209	entailment
210	neutral
211	contradiction
212	neutral
213	neutral
214	contradiction
215	neutral
216	neutral
217	neutral
218	entailment
219	contradiction
220	entailment
221	neutral
222	entailment
223	neutral
224	entailment
225	contradiction
226	neutral
227	neutral
228	entailment
229	entailment
230	contradiction
231	neutral
232	contradiction
233	entailment
234	contradiction
235	entailment
236	neutral
237	entailment
238	neutral
239	contradiction
240	entailment
241	entailment
242	entailment
243	entailment
244	contradiction
245	neutral
246	entailment
247	neutral
248	entailment
249	entailment
250	entailment
251	neutral
252	contradiction
253	entailment
254	neutral
255	entailment
256	entailment
257	entailment
258	neutral
259	neutral
260	neutral
261	contradiction
262	neutral
263	entailment
264	contradiction
265	entailment
266	neutral
267	neutral
268	entailment
269	contradiction
270	contradiction
271	entailment
272	neutral
273	entailment
274	entailment
275	contradiction
276	neutral
277	entailment
278	contradiction
279	neutral
280	neutral
281	neutral
282	contradiction
283	contradiction
284	contradiction
285	neutral
286	entailment
287	neutral
288	entailment
289	contradiction
290	neutral
291	contradiction
292	contradiction
293	neutral
294	contradiction
295	entailment
296	neutral
297	contradiction
298	neutral
299	entailment
300	contradiction
301	entailment
302	contradiction
303	contradiction
304	neutral
305	entailment
306	contradiction
307	neutral
308	contradiction
309	neutral
310	contradiction
311	neutral
312	neutral
313	entailment
314	entailment
315	entailment
316	contradiction
317	neutral
318	entailment
319	contradiction
320	neutral
321	contradiction
322	neutral
323	entailment
324	neutral
325	entailment
326	contradiction
327	contradiction
328	neutral
329	neutral
330	contradiction
331	neutral
332	contradiction
333	contradiction
334	neutral
335	neutral
336	entailment
337	neutral
338	neutral
339	entailment
340	contradiction
341	entailment
342	entailment
343	neutral
344	contradiction
345	neutral
346	neutral
347	contradiction
348	entailment
349	contradiction
350	contradiction
351	entailment
352	contradiction
353	contradiction
354	neutral
355	contradiction
356	neutral
357	contradiction
358	neutral
359	entailment
360	neutral
361	neutral
362	contradiction
363	neutral
364	contradiction
365	entailment
366	entailment
367	entailment
368	contradiction
369	entailment
370	neutral
371	entailment
372	contradiction
373	entailment
374	contradiction
375	entailment
376	contradiction
377	entailment
378	contradiction
379	neutral
380	neutral
381	neutral
382	neutral
383	contradiction
384	neutral
385	contradiction
386	entailment
387	contradiction
388	neutral
389	entailment
390	neutral
391	contradiction
392	contradiction
393	neutral
394	neutral
395	neutral
396	neutral
397	neutral
398	contradiction
399	entailment
