index	prediction
0	3.693
1	3.707
2	3.695
3	3.417
4	3.418
5	2.850
6	3.631
7	3.336
8	3.165
9	3.063
10	3.063
11	3.799
12	2.015
13	3.100
14	2.911
15	3.024
16	2.752
17	3.169
18	3.114
19	1.638
20	2.723
21	1.845
22	3.322
23	3.586
24	2.454
25	3.430
26	2.304
27	2.152
28	2.750
29	3.410
30	2.705
31	3.383
32	2.249
33	3.220
34	2.718
35	1.597
36	2.395
37	2.956
38	3.272
39	2.144
40	2.949
41	2.972
42	3.178
43	1.747
44	2.393
45	2.301
46	1.972
47	2.358
48	2.519
49	2.255
50	2.159
51	3.360
52	1.692
53	1.838
54	2.963
55	2.027
56	2.774
57	1.926
58	3.332
59	2.787
60	4.307
61	2.178
62	2.302
63	1.749
64	3.181
65	2.036
66	1.819
67	3.204
68	1.816
69	3.198
70	2.393
71	3.055
72	1.826
73	2.756
74	3.105
75	1.599
76	2.489
77	1.591
78	2.354
79	3.215
80	1.847
81	2.180
82	2.265
83	2.514
84	1.963
85	2.375
86	2.867
87	2.970
88	3.206
89	2.668
90	2.720
91	2.738
92	1.988
93	2.766
94	2.789
95	3.654
96	2.918
97	2.487
98	2.397
99	2.218
100	1.734
101	2.219
102	2.429
103	3.005
104	2.478
105	2.251
106	1.700
107	1.826
108	2.219
109	2.945
110	3.613
111	2.278
112	3.112
113	2.944
114	1.962
115	1.981
116	3.565
117	2.660
118	2.180
119	2.395
120	2.646
121	2.368
122	2.009
123	2.354
124	1.756
125	4.016
126	2.231
127	3.043
128	2.933
129	3.129
130	3.549
131	3.326
132	2.878
133	3.805
134	3.520
135	3.194
136	4.029
137	3.416
138	2.910
139	3.711
140	3.800
141	3.509
142	2.947
143	3.691
144	2.640
145	3.324
146	2.991
147	3.162
148	3.090
149	2.268
150	3.316
151	2.683
152	3.192
153	3.169
154	3.361
155	3.669
156	2.693
157	3.306
158	3.706
159	2.591
160	3.872
161	3.141
162	2.267
163	3.179
164	3.443
165	3.537
166	3.227
167	2.691
168	3.020
169	3.149
170	3.292
171	2.265
172	3.563
173	2.821
174	2.976
175	3.187
176	3.339
177	3.124
178	2.285
179	1.912
180	1.912
181	3.357
182	3.127
183	1.495
184	2.868
185	2.428
186	1.820
187	2.310
188	2.937
189	1.464
190	2.869
191	3.280
192	2.861
193	2.963
194	3.545
195	2.638
196	3.274
197	2.211
198	1.305
199	2.731
200	1.718
201	1.674
202	2.684
203	1.482
204	2.298
205	2.322
206	2.622
207	2.118
208	2.940
209	3.046
210	1.992
211	2.435
212	2.256
213	1.782
214	2.782
215	1.987
216	2.519
217	2.962
218	2.395
219	2.294
220	1.944
221	1.799
222	1.873
223	2.568
224	1.411
225	1.309
226	2.374
227	2.701
228	1.601
229	2.176
230	1.551
231	1.581
232	3.111
233	3.063
234	2.721
235	3.377
236	2.336
237	2.118
238	2.096
239	1.389
240	2.217
241	1.595
242	1.675
243	1.796
244	2.870
245	1.608
246	2.679
247	2.173
248	1.771
249	2.179
250	2.932
251	3.542
252	3.275
253	2.067
254	2.302
255	2.685
256	2.602
257	3.230
258	2.560
259	2.503
260	3.640
261	3.301
262	3.100
263	3.718
264	2.963
265	2.308
266	2.699
267	2.819
268	2.875
269	3.746
270	3.127
271	1.932
272	2.617
273	3.714
274	3.472
275	3.553
276	1.736
277	1.913
278	3.364
279	2.965
280	2.688
281	2.403
282	2.739
283	3.156
284	2.987
285	3.339
286	3.084
287	2.458
288	3.254
289	3.178
290	3.804
291	2.107
292	2.645
293	3.997
294	2.307
295	2.503
296	2.725
297	3.400
298	2.864
299	2.999
300	3.944
301	2.838
302	2.862
303	3.324
304	3.135
305	3.300
306	3.398
307	2.651
308	3.518
309	2.832
310	2.870
311	1.756
312	2.606
313	2.905
314	2.878
315	3.414
316	2.965
317	2.887
318	2.623
319	2.120
320	3.162
321	3.081
322	3.496
323	2.462
324	3.696
325	2.068
326	2.966
327	3.599
328	2.968
329	3.475
330	4.305
331	3.168
332	3.566
333	2.989
334	2.131
335	2.787
336	3.050
337	3.582
338	2.438
339	2.346
340	3.459
341	4.178
342	3.422
343	3.000
344	2.848
345	1.939
346	2.958
347	2.295
348	3.112
349	2.094
350	2.812
351	3.934
352	3.333
353	2.717
354	3.315
355	2.672
356	2.086
357	3.514
358	1.862
359	3.239
360	4.122
361	3.707
362	2.815
363	2.560
364	3.035
365	2.549
366	3.423
367	2.914
368	3.631
369	3.685
370	3.357
371	4.092
372	1.611
373	2.908
374	2.258
375	2.944
376	2.208
377	1.904
378	2.944
379	2.368
380	3.853
381	3.149
382	2.774
383	2.615
384	2.345
385	3.322
386	3.581
387	2.294
388	3.114
389	2.606
390	3.851
391	2.620
392	2.257
393	2.757
394	3.348
395	2.561
396	2.769
397	4.079
398	2.995
399	2.515
400	2.517
401	3.181
402	2.999
403	2.614
404	2.818
405	3.479
406	2.154
407	2.790
408	2.700
409	2.822
410	3.087
411	3.396
412	2.741
413	3.586
414	2.305
415	3.425
416	2.861
417	4.009
418	3.357
419	3.730
420	3.555
421	2.457
422	3.995
423	2.394
424	3.437
425	2.587
426	1.595
427	4.045
428	2.972
429	3.673
430	2.448
431	4.126
432	1.954
433	3.561
434	2.455
435	3.078
436	2.609
437	4.012
438	3.337
439	3.247
440	3.691
441	2.596
442	1.939
443	2.787
444	2.922
445	1.594
446	2.754
447	2.936
448	2.088
449	2.180
450	3.425
451	2.700
452	2.554
453	1.752
454	3.622
455	2.087
456	2.610
457	3.506
458	2.056
459	2.596
460	1.989
461	1.934
462	2.070
463	3.133
464	3.125
465	3.605
466	2.952
467	3.774
468	3.898
469	2.390
470	2.890
471	2.869
472	3.466
473	3.413
474	2.522
475	2.822
476	2.832
477	2.928
478	2.851
479	2.154
480	3.015
481	2.547
482	3.173
483	2.374
484	3.581
485	1.872
486	3.124
487	3.595
488	2.663
489	3.457
490	4.147
491	3.676
492	3.006
493	2.968
494	2.062
495	3.097
496	1.730
497	2.907
498	2.754
499	4.059
500	3.358
501	2.836
502	2.533
503	3.797
504	3.133
505	3.715
506	3.334
507	2.823
508	3.399
509	2.650
510	2.311
511	2.959
512	3.652
513	3.007
514	3.769
515	2.697
516	3.210
517	2.867
518	2.431
519	3.337
520	3.233
521	3.038
522	2.942
523	2.704
524	3.498
525	3.278
526	3.380
527	2.492
528	3.557
529	2.826
530	3.028
531	2.670
532	2.624
533	2.369
534	3.046
535	2.590
536	2.657
537	2.928
538	3.055
539	2.585
540	4.413
541	2.443
542	3.687
543	2.902
544	3.300
545	3.902
546	2.475
547	3.301
548	3.703
549	3.828
550	3.379
551	3.018
552	3.111
553	3.540
554	2.660
555	3.527
556	2.939
557	2.589
558	3.454
559	2.846
560	3.842
561	2.051
562	2.510
563	3.563
564	2.884
565	2.507
566	3.705
567	2.962
568	2.418
569	3.992
570	3.623
571	3.360
572	2.182
573	3.329
574	3.466
575	3.838
576	3.969
577	2.885
578	3.238
579	2.924
580	2.778
581	4.091
582	3.404
583	2.784
584	2.942
585	2.552
586	1.744
587	3.776
588	3.349
589	3.391
590	2.459
591	2.619
592	3.866
593	3.034
594	2.015
595	3.221
596	3.418
597	1.961
598	2.653
599	3.695
600	3.062
601	2.658
602	3.351
603	3.803
604	3.480
605	3.000
606	4.001
607	3.238
608	3.614
609	3.654
610	4.200
611	3.378
612	3.281
613	2.677
614	3.306
615	3.504
616	3.093
617	2.836
618	2.828
619	3.877
620	3.155
621	3.461
622	1.835
623	3.955
624	3.093
625	3.417
626	3.015
627	2.727
628	3.238
629	3.464
630	3.320
631	4.084
632	3.557
633	3.785
634	3.123
635	2.729
636	3.166
637	3.064
638	3.534
639	4.014
640	2.975
641	3.403
642	2.913
643	2.997
644	3.313
645	3.178
646	2.630
647	3.693
648	3.466
649	2.962
650	2.481
651	3.159
652	3.374
653	3.124
654	2.721
655	4.056
656	3.609
657	4.124
658	2.922
659	2.765
660	3.295
661	2.891
662	2.613
663	3.510
664	3.485
665	3.325
666	3.233
667	2.666
668	3.797
669	2.929
670	3.282
671	3.434
672	3.057
673	3.646
674	4.205
675	2.471
676	3.049
677	2.999
678	3.283
679	2.003
680	3.497
681	3.419
682	3.247
683	3.047
684	2.770
685	2.794
686	3.710
687	1.969
688	2.870
689	3.730
690	3.155
691	3.003
692	3.942
693	3.238
694	3.173
695	3.187
696	3.531
697	3.665
698	3.317
699	2.954
700	2.806
701	2.710
702	3.788
703	3.840
704	3.279
705	3.008
706	3.109
707	3.290
708	3.619
709	3.219
710	3.869
711	3.232
712	2.919
713	3.134
714	3.467
715	2.725
716	3.503
717	4.228
718	2.783
719	2.110
720	3.620
721	3.494
722	3.172
723	2.189
724	3.461
725	2.269
726	2.905
727	3.672
728	3.363
729	3.323
730	2.946
731	3.202
732	3.674
733	2.795
734	3.819
735	3.710
736	3.629
737	4.230
738	3.197
739	3.450
740	3.811
741	3.288
742	3.776
743	3.466
744	3.562
745	2.976
746	3.279
747	2.532
748	3.820
749	3.156
750	2.848
751	3.399
752	3.317
753	2.921
754	3.323
755	4.044
756	3.209
757	2.872
758	3.489
759	4.087
760	3.517
761	2.310
762	2.605
763	2.535
764	3.497
765	3.075
766	3.308
767	2.877
768	3.289
769	3.013
770	2.608
771	2.998
772	3.124
773	2.931
774	3.288
775	3.427
776	3.209
777	3.684
778	2.482
779	3.919
780	2.792
781	3.378
782	4.087
783	3.304
784	3.649
785	3.000
786	3.043
787	3.598
788	3.598
789	3.710
790	2.171
791	3.376
792	3.282
793	2.747
794	3.624
795	3.297
796	3.130
797	3.003
798	2.607
799	2.452
800	3.446
801	2.902
802	2.573
803	2.777
804	2.612
805	4.071
806	3.429
807	3.353
808	3.607
809	3.374
810	3.651
811	3.767
812	2.716
813	3.739
814	3.670
815	2.344
816	3.242
817	3.709
818	3.356
819	3.052
820	2.726
821	3.440
822	2.684
823	3.672
824	3.696
825	4.196
826	3.176
827	3.250
828	3.090
829	3.802
830	3.600
831	2.216
832	3.527
833	3.148
834	3.288
835	3.206
836	3.141
837	3.501
838	3.664
839	3.769
840	3.148
841	4.106
842	3.374
843	2.742
