index	prediction
0	entailment
1	not_entailment
2	entailment
3	entailment
4	not_entailment
5	not_entailment
6	entailment
7	not_entailment
8	not_entailment
9	entailment
10	not_entailment
11	entailment
12	entailment
13	not_entailment
14	entailment
15	entailment
16	not_entailment
17	entailment
18	not_entailment
19	entailment
20	entailment
21	not_entailment
22	entailment
23	entailment
24	entailment
25	not_entailment
26	entailment
27	not_entailment
28	entailment
29	entailment
30	not_entailment
31	entailment
32	not_entailment
33	entailment
34	not_entailment
35	entailment
36	not_entailment
37	entailment
38	not_entailment
39	entailment
40	entailment
41	not_entailment
42	not_entailment
43	entailment
44	not_entailment
45	not_entailment
46	entailment
47	not_entailment
48	not_entailment
49	entailment
50	not_entailment
51	entailment
52	entailment
53	not_entailment
54	entailment
55	entailment
56	entailment
57	entailment
58	entailment
59	entailment
60	not_entailment
61	not_entailment
62	not_entailment
63	entailment
64	entailment
65	not_entailment
66	entailment
67	not_entailment
68	entailment
69	entailment
70	entailment
71	not_entailment
72	not_entailment
73	entailment
74	not_entailment
75	not_entailment
76	not_entailment
77	entailment
78	not_entailment
79	not_entailment
80	not_entailment
81	not_entailment
82	not_entailment
83	not_entailment
84	entailment
85	not_entailment
86	entailment
87	entailment
88	not_entailment
89	not_entailment
90	entailment
91	entailment
92	not_entailment
93	entailment
94	entailment
95	entailment
96	not_entailment
97	entailment
98	not_entailment
99	not_entailment
100	entailment
101	entailment
102	not_entailment
103	not_entailment
104	entailment
105	entailment
106	entailment
107	not_entailment
108	entailment
109	not_entailment
110	not_entailment
111	entailment
112	entailment
113	not_entailment
114	entailment
115	entailment
116	entailment
117	entailment
118	entailment
119	not_entailment
120	entailment
121	not_entailment
122	not_entailment
123	not_entailment
124	not_entailment
125	entailment
126	entailment
127	entailment
128	not_entailment
129	entailment
130	not_entailment
131	not_entailment
132	not_entailment
133	entailment
134	entailment
135	not_entailment
136	not_entailment
137	entailment
138	not_entailment
139	entailment
140	entailment
141	entailment
142	not_entailment
143	not_entailment
144	entailment
145	not_entailment
146	entailment
147	entailment
148	not_entailment
149	not_entailment
150	entailment
151	entailment
152	not_entailment
153	entailment
154	not_entailment
155	entailment
156	not_entailment
157	not_entailment
158	entailment
159	not_entailment
160	entailment
161	entailment
162	not_entailment
163	not_entailment
164	not_entailment
165	entailment
166	entailment
167	entailment
168	not_entailment
169	entailment
170	not_entailment
171	not_entailment
172	not_entailment
173	not_entailment
174	not_entailment
175	not_entailment
176	entailment
177	entailment
178	entailment
179	not_entailment
180	not_entailment
181	entailment
182	entailment
183	entailment
184	entailment
185	not_entailment
186	not_entailment
187	entailment
188	entailment
189	not_entailment
190	entailment
191	entailment
192	entailment
193	not_entailment
194	entailment
195	entailment
196	not_entailment
197	entailment
198	not_entailment
199	entailment
200	entailment
201	entailment
202	entailment
203	entailment
204	entailment
205	entailment
206	not_entailment
207	entailment
208	not_entailment
209	entailment
210	entailment
211	not_entailment
212	not_entailment
213	entailment
214	not_entailment
215	entailment
216	entailment
217	entailment
218	entailment
219	not_entailment
220	entailment
221	entailment
222	not_entailment
223	entailment
224	entailment
225	not_entailment
226	entailment
227	not_entailment
228	entailment
229	entailment
230	entailment
231	entailment
232	not_entailment
233	entailment
234	not_entailment
235	entailment
236	not_entailment
237	entailment
238	entailment
239	entailment
240	not_entailment
241	entailment
242	entailment
243	entailment
244	entailment
245	not_entailment
246	not_entailment
247	entailment
248	not_entailment
249	not_entailment
250	not_entailment
251	not_entailment
252	entailment
253	entailment
254	entailment
255	entailment
256	not_entailment
257	not_entailment
258	not_entailment
259	entailment
260	not_entailment
261	not_entailment
262	entailment
263	entailment
264	entailment
265	entailment
266	not_entailment
267	entailment
268	not_entailment
269	not_entailment
270	entailment
271	entailment
272	not_entailment
273	entailment
274	not_entailment
275	not_entailment
276	entailment
277	entailment
278	entailment
279	not_entailment
280	not_entailment
281	not_entailment
282	not_entailment
283	entailment
284	entailment
285	not_entailment
286	not_entailment
287	entailment
288	not_entailment
289	entailment
290	entailment
291	entailment
292	not_entailment
293	not_entailment
294	not_entailment
295	entailment
296	not_entailment
297	not_entailment
298	entailment
299	entailment
300	entailment
301	entailment
302	entailment
303	entailment
304	not_entailment
305	entailment
306	not_entailment
307	entailment
308	not_entailment
309	not_entailment
310	entailment
311	not_entailment
312	entailment
313	entailment
314	entailment
315	not_entailment
316	entailment
317	not_entailment
318	entailment
319	entailment
320	not_entailment
321	not_entailment
322	entailment
323	not_entailment
324	entailment
325	not_entailment
326	not_entailment
327	entailment
328	entailment
329	entailment
330	not_entailment
331	not_entailment
332	not_entailment
333	not_entailment
334	entailment
335	entailment
336	entailment
337	entailment
338	entailment
339	not_entailment
340	entailment
341	not_entailment
342	entailment
343	not_entailment
344	not_entailment
345	entailment
346	entailment
347	not_entailment
348	entailment
349	not_entailment
350	not_entailment
351	entailment
352	entailment
353	entailment
354	not_entailment
355	not_entailment
356	not_entailment
357	entailment
358	entailment
359	not_entailment
360	not_entailment
361	entailment
362	entailment
363	not_entailment
364	not_entailment
365	entailment
366	entailment
367	entailment
368	entailment
369	not_entailment
370	not_entailment
371	entailment
372	entailment
373	entailment
374	entailment
375	entailment
376	entailment
377	entailment
378	not_entailment
379	entailment
380	not_entailment
381	not_entailment
382	not_entailment
383	entailment
384	entailment
385	entailment
386	not_entailment
387	not_entailment
388	entailment
389	not_entailment
390	entailment
391	entailment
392	not_entailment
393	not_entailment
394	entailment
395	not_entailment
396	not_entailment
397	entailment
398	entailment
399	entailment
400	entailment
401	entailment
402	entailment
403	not_entailment
404	entailment
405	entailment
406	entailment
407	entailment
408	entailment
409	entailment
410	entailment
411	entailment
412	not_entailment
413	entailment
414	entailment
415	entailment
416	entailment
417	not_entailment
418	entailment
419	entailment
420	not_entailment
421	not_entailment
422	entailment
423	not_entailment
424	entailment
425	entailment
426	entailment
427	entailment
428	entailment
429	entailment
430	entailment
431	entailment
432	not_entailment
433	entailment
434	entailment
435	entailment
436	entailment
