index	prediction
0	neutral
1	neutral
2	neutral
3	neutral
4	contradiction
5	contradiction
6	neutral
7	neutral
8	contradiction
9	contradiction
10	entailment
11	entailment
12	entailment
13	entailment
14	contradiction
15	neutral
16	entailment
17	contradiction
18	neutral
19	neutral
20	entailment
21	entailment
22	contradiction
23	entailment
24	entailment
25	entailment
26	entailment
27	entailment
28	neutral
29	entailment
30	entailment
31	contradiction
32	neutral
33	contradiction
34	neutral
35	entailment
36	contradiction
37	neutral
38	entailment
39	contradiction
40	entailment
41	contradiction
42	entailment
43	contradiction
44	neutral
45	entailment
46	contradiction
47	entailment
48	entailment
49	neutral
50	entailment
51	entailment
52	entailment
53	neutral
54	entailment
55	neutral
56	entailment
57	entailment
58	neutral
59	neutral
60	contradiction
61	entailment
62	entailment
63	neutral
64	neutral
65	entailment
66	contradiction
67	contradiction
68	entailment
69	neutral
70	neutral
71	entailment
72	contradiction
73	contradiction
74	entailment
75	entailment
76	neutral
77	contradiction
78	neutral
79	entailment
80	entailment
81	neutral
82	contradiction
83	entailment
84	contradiction
85	neutral
86	neutral
87	contradiction
88	entailment
89	entailment
90	contradiction
91	entailment
92	entailment
93	entailment
94	entailment
95	contradiction
96	entailment
97	entailment
98	contradiction
99	contradiction
100	neutral
101	entailment
102	neutral
103	contradiction
104	contradiction
105	entailment
106	entailment
107	neutral
108	neutral
109	neutral
110	entailment
111	neutral
112	entailment
113	neutral
114	neutral
115	contradiction
116	neutral
117	neutral
118	neutral
119	neutral
120	neutral
121	entailment
122	entailment
123	contradiction
124	neutral
125	entailment
126	neutral
127	neutral
128	neutral
129	contradiction
130	contradiction
131	entailment
132	contradiction
133	neutral
134	neutral
135	contradiction
136	neutral
137	contradiction
138	contradiction
139	contradiction
140	entailment
141	contradiction
142	entailment
143	entailment
144	contradiction
145	entailment
146	entailment
147	neutral
148	neutral
149	neutral
150	neutral
151	neutral
152	entailment
153	neutral
154	neutral
155	contradiction
156	entailment
157	entailment
158	neutral
159	entailment
160	contradiction
161	contradiction
162	entailment
163	neutral
164	contradiction
165	entailment
166	neutral
167	contradiction
168	entailment
169	entailment
170	neutral
171	neutral
172	neutral
173	entailment
174	neutral
175	contradiction
176	contradiction
177	entailment
178	entailment
179	neutral
180	contradiction
181	entailment
182	neutral
183	neutral
184	entailment
185	contradiction
186	contradiction
187	entailment
188	contradiction
189	entailment
190	entailment
191	contradiction
192	entailment
193	contradiction
194	neutral
195	entailment
196	entailment
197	entailment
198	entailment
199	entailment
200	neutral
201	entailment
202	entailment
203	contradiction
204	entailment
205	contradiction
206	contradiction
207	entailment
208	entailment
209	entailment
210	entailment
211	entailment
212	contradiction
213	entailment
214	entailment
215	entailment
216	entailment
217	neutral
218	neutral
219	contradiction
220	entailment
221	entailment
222	neutral
223	contradiction
224	contradiction
225	entailment
226	neutral
227	contradiction
228	contradiction
229	contradiction
230	entailment
231	neutral
232	entailment
233	entailment
234	entailment
235	neutral
236	entailment
237	neutral
238	contradiction
239	entailment
240	contradiction
241	contradiction
242	entailment
243	neutral
244	neutral
245	neutral
246	entailment
247	neutral
248	entailment
249	neutral
250	neutral
251	contradiction
252	entailment
253	entailment
254	entailment
255	entailment
256	entailment
257	neutral
258	contradiction
259	contradiction
260	contradiction
261	entailment
262	entailment
263	entailment
264	contradiction
265	contradiction
266	neutral
267	contradiction
268	neutral
269	neutral
270	entailment
271	contradiction
272	neutral
273	entailment
274	entailment
275	neutral
276	contradiction
277	contradiction
278	neutral
279	neutral
280	entailment
281	neutral
282	neutral
283	neutral
284	contradiction
285	entailment
286	contradiction
287	neutral
288	neutral
289	neutral
290	contradiction
291	entailment
292	neutral
293	entailment
294	entailment
295	neutral
296	contradiction
297	entailment
298	neutral
299	entailment
300	neutral
301	neutral
302	neutral
303	entailment
304	entailment
305	entailment
306	contradiction
307	contradiction
308	entailment
309	entailment
310	contradiction
311	neutral
312	entailment
313	contradiction
314	neutral
315	entailment
316	contradiction
317	neutral
318	entailment
319	entailment
320	entailment
321	neutral
322	entailment
323	entailment
324	neutral
325	entailment
326	contradiction
327	neutral
328	entailment
329	entailment
330	entailment
331	neutral
332	entailment
333	neutral
334	neutral
335	neutral
336	entailment
337	neutral
338	contradiction
339	neutral
340	contradiction
341	contradiction
342	neutral
343	entailment
344	entailment
345	entailment
346	entailment
347	entailment
348	neutral
349	entailment
350	entailment
351	contradiction
352	entailment
353	contradiction
354	neutral
355	entailment
356	entailment
357	entailment
358	neutral
359	entailment
360	entailment
361	entailment
362	neutral
363	entailment
364	entailment
365	neutral
366	entailment
367	neutral
368	neutral
369	entailment
370	entailment
371	neutral
372	contradiction
373	entailment
374	neutral
375	entailment
376	entailment
377	neutral
378	neutral
379	entailment
380	entailment
381	entailment
382	entailment
383	entailment
384	neutral
385	neutral
386	entailment
387	entailment
388	entailment
389	entailment
390	contradiction
391	contradiction
392	contradiction
393	entailment
394	contradiction
395	entailment
396	contradiction
397	contradiction
398	contradiction
399	neutral
400	neutral
401	entailment
402	contradiction
403	entailment
404	entailment
405	entailment
406	entailment
407	entailment
408	neutral
409	entailment
410	neutral
411	contradiction
412	neutral
413	entailment
414	entailment
415	neutral
416	entailment
417	neutral
418	neutral
419	entailment
420	neutral
421	neutral
422	neutral
423	contradiction
424	contradiction
425	entailment
426	neutral
427	neutral
428	neutral
429	contradiction
430	neutral
431	contradiction
432	entailment
433	entailment
434	contradiction
435	neutral
436	contradiction
437	neutral
438	entailment
439	entailment
440	neutral
441	entailment
442	entailment
443	neutral
444	contradiction
445	contradiction
446	entailment
447	neutral
448	neutral
449	contradiction
450	contradiction
451	entailment
452	neutral
453	entailment
454	contradiction
455	entailment
456	neutral
457	entailment
458	contradiction
459	entailment
460	entailment
461	contradiction
462	contradiction
463	entailment
464	neutral
465	contradiction
466	neutral
467	contradiction
468	entailment
469	entailment
470	entailment
471	contradiction
472	neutral
473	neutral
474	entailment
475	neutral
476	neutral
477	entailment
478	neutral
